quarter,pdf_page,table_row,category,code,name,original_budget,final_budget,quarter_performance,ytd_performance,balance
4,18,,total,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management,1652950539.57,1652950539.57,600000.00,36500000.00,1616450539.57
4,18,,total,052101400100,Kano State Centre For Disesase Control & Prevention -,0,24000000.00,0,4500000.00,19500000.00
4,21,,personnel,052100000000,Ministry of Health,35626727000.00,35626727000.00,6181146532.37,25533706207.09,10093020792.91
4,21,,personnel,052100100100,Ministry of Health,3213024000.00,3213024000.00,383562491.68,1577247121.38,1635776878.62
4,21,,personnel,052100300100,H.M.B. ( HQ and Zones),31750191000.00,31750191000.00,5705655484.76,23563292312.05,8186898687.95
4,21,,personnel,052100500100,Primary Health Care Mgt. Board (PHCMB),663512000.00,663512000.00,91928555.93,393166773.66,270345226.34
4,25,,overhead,052100000000,Ministry of Health,7924213000.00,8412554846.98,129449002.00,1171593808.49,7240961038.49
4,25,,overhead,052100100100,Ministry of Health,1270732000.00,1338073846.98,127849002.00,975508808.49,362565038.49
4,25,,overhead,052100300100,H.M.B. ( HQ and Zones),2474131000.00,2474131000.00,0,104385000.00,2369746000.00
4,25,,overhead,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),685949000.00,685949000.00,0,0,685949000.00
4,25,,overhead,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,1000000.00,7000000.00,133355000.00
4,25,,overhead,052100400200,School of Nursing Kano,12520000.00,12520000.00,0,2000000.00,10520000.00
4,25,,overhead,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,0,4500000.00,21120000.00
4,25,,overhead,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,0,3000000.00,19100000.00
4,25,,overhead,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,0,3200000.00,9720000.00
4,25,,overhead,052100400600,School of Nursing Madobi,34300000.00,34300000.00,0,3000000.00,31300000.00
4,25,,overhead,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,0,3200000.00,10550000.00
4,25,,overhead,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,0,3200000.00,22420000.00
4,25,,overhead,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,0,1800000.00,41488000.00
4,25,,overhead,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
4,25,,overhead,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,0,4800000.00,20438000.00
4,25,,overhead,052104000100,School Health Technology Kano,101500000.00,101500000.00,0,3000000.00,98500000.00
4,25,,overhead,052100500100,Primary Health Care Mgt. Board (PHCMB),1723600000.00,1723600000.00,0,6000000.00,1717600000.00
4,25,,overhead,052100600100,State Agency for Control of Aids,24000000.00,24000000.00,0,3000000.00,21000000.00
4,25,,overhead,052100800100,CONTRIBUTORY HEALTH MGT,956600000.00,1353600000.00,0,0,1353600000.00
4,25,,overhead,052100900100,KHETFUND,139000000.00,139000000.00,0,0,139000000.00
4,25,,overhead,052101100100,Private Health Institutions Management Agency,58500000.00,58500000.00,0,3000000.00,55500000.00
4,25,,overhead,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),128240000.00,128240000.00,600000.00,36500000.00,91740000.00
4,25,,overhead,052101400100,Kano State Centre For Disesase Control & Prevention -,0,24000000.00,0,4500000.00,19500000.00
4,28,,capital,052100000000,Ministry of Health,65712121129.98,65712121129.98,28417763274.86,36354920032.38,29357201097.60
4,28,,capital,052100100100,Ministry of Health,40270755456.78,40570755456.78,14562929512.33,20825686217.75,19745069239.03
4,28,,capital,052100300100,H.M.B. ( HQ and Zones),1247855750.00,1247855750.00,37644000.00,645663886.00,602191864.00
4,28,,capital,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),729004824.60,729004824.60,0,43825000.00,685179824.60
4,28,,capital,052100500100,Primary Health Care Mgt. Board (PHCMB),9022148945.55,9322148945.55,6899619162.53,7922174328.63,1399974616.92
4,28,,capital,052100600100,State Agency for Control of Aids,1012077183.00,1012077183.00,340587600.00,340587600.00,671489583.00
4,28,,capital,052100800100,CONTRIBUTORY HEALTH MGT,7792820180.48,7192820180.48,4355567000.00,4355567000.00,2837253180.48
4,28,,capital,052100900100,KHETFUND,3950279000.00,3950279000.00,2221416000.00,2221416000.00,1728863000.00
4,28,,capital,052101100100,Private Health Institutions Management Agency,162469250.00,162469250.00,0,0,162469250.00
4,28,,capital,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),1524710539.57,1524710539.57,0,0,1524710539.57
2,27,,overhead,052100000000,Ministry of Health,7924213000.00,7924213000.00,293880910.00,776459806.49,7147753193.51
2,27,,overhead,052100100100,Ministry of Health,1270732000.00,1270732000.00,266180910.00,747659806.49,523072193.51
2,27,,overhead,052100300100,H.M.B. ( HQ and Zones),2474131000.00,2474131000.00,3000000.00,3000000.00,2471131000.00
2,27,,overhead,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),685949000.00,685949000.00,0,0.00,685949000.00
2,27,,overhead,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,2500000.00,2500000.00,137855000.00
2,27,,overhead,052100400200,School of Nursing Kano,12520000.00,12520000.00,1500000.00,2000000.00,10520000.00
